ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable)
P1;"Is there a national Open Data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references Open Data.";yes;"The policy of Open Data in Ukraine includes the following basic documents that regulate Open Data sphere:
Law of Ukraine ""On Information"" https://zakon.rada.gov.ua/laws/show/2657-12#Text 
The law defines the basic principles of access to information, and establishes the categorization of information that is in the possession of state bodies                                                                                                                                                                                       The Law of Ukraine ""On Access to Public Information"" https://zakon.rada.gov.ua/laws/show/2939-17#Text  which contains a separate article on Open Data, and establishes the general principles of access to public information.
Resolution of the Cabinet of Ministers of Ukraine dated October 21, 2015 No. 835 ""On approval of the regulation on data sets that are subject to publication in the form of Open Data"" https://zakon.rada.gov.ua/laws/show/835-2015-%D0%BF#Text 
The regulation defines the procedure for publishing  Open Data, requirements for its metadata, and a list of sets of data that must be published in the form of Open Data.
In addition, the provision contains implemented principles of the International Open Data Charter                                                                                                                                                                                                                                    Resolution of the Cabinet of Ministers of Ukraine dated November 30, 2016 No. 867 ""Some issues of public information disclosure in the form of Open Data"" https://zakon.rada.gov.ua/laws/show/867-2016-%D0%BF#Text The regulation contains basic information about the functioning of the national Open Data portal, and the obligations of data providers in working with portal
Decree of the Cabinet of Ministers of Ukraine dated September 22, 2016 No. 686-r ""Some issues of joining the International Open Data Charter"" https://zakon.rada.gov.ua/laws/show/686-2016-%D1%80#Text Decree establishes Ukraine's accession to the International Open Data Charter and imposes an obligation on data providers to use the principles of the charter during the process of publishing datasets
The implementation of Directive 2019/1024/EU regarding Open Data was carried out in 2021 with the adoption of Resolution No. 407 of the Cabinet of Ministers of Ukraine dated March 3, 2021 ""On Amendments to Resolutions No. 835 and No. 30 of the Cabinet of Ministers of Ukraine dated October 21, 2015 November 2016 No. 867""";Confirm;;
P2;"Is there a national Open Data strategy in your country?

For Explanation:
* If yes, please provide (1) the URL to the strategy and (2) describe the main highlights.  
* If 'not applicable', please provide (1) a brief explanation to support your answer choice and provide (2) the URL and indicate the policy section which explicitly references objectives, actions/measures, delivery timelines etc.";yes;"In January 2022, Ukraine developed a strategy for the development of Open Data until 2025. Link to strategy https://data.gov.ua/uploads/files/2022-06-15-102752.7196282150222.pdf 
However, due to the large-scale military invasion of Russia on February 24, 2022, the Strategy wasn`t approved at the level of the Cabinet of Ministers of Ukraine, its official approval was postponed until Ukraine's victory in the war.
At the same time, the main provisions of the draft strategy for the development of Open Data in Ukraine were reflected in other strategic documents of the Government, including those adopted in response to Russia's armed aggression.
Among them: Plan for the recovery of Ukraine https://recovery.gov.ua/en/project 
The Government's priority action plan for 2023 https://zakon.rada.gov.ua/laws/show/221-2023-%D1%80#Text https://zakon.rada.gov.ua/laws/file/text/104/f524487n15.docx 
National strategy for promoting the development of civil society in Ukraine for 2021-2026 https://zakon.rada.gov.ua/laws/show/487/2021#Text 
Anti-corruption strategy for 2021-2025 https://zakon.rada.gov.ua/laws/show/2322-20#Text 
State strategy of regional development for 2021-2027 https://zakon.rada.gov.ua/laws/show/695-2020-%D0%BF#Text                    All of the strategies and action plans listed above contain separate sections on Open Data.
First of all, they concern the intensification of the publication of Open Data, the use of machine-readable formats and the support of transparency and accountability of authorities, which is necessary for the development of civil society. In addition, all strategies in one way or another encourage the reuse of Open Data by both the public and private sectors";Complement;Yes;"In January 2022, Ukraine developed a strategy for the development of Open Data until 2025. Link to strategy https://data.gov.ua/uploads/files/2022-06-15-102752.7196282150222.pdf. However, due to the large-scale military invasion of Russia on February 24, 2022, the Strategy wasn`t approved at the level of the Cabinet of Ministers of Ukraine, its official approval was postponed until Ukraine's victory in the war. At the same time, the main provisions of the draft strategy for the development of Open Data in Ukraine were reflected in other strategic documents of the Government, including those adopted in response to Russia's armed aggression. Among them: Plan for the recovery of Ukraine https://recovery.gov.ua/en/project The Government's priority action plan for 2023 https://zakon.rada.gov.ua/laws/show/221-2023-%D1%80#Text  https://zakon.rada.gov.ua/laws/file/text/104/f524487n15.docx National strategy for promoting the development of civil society in Ukraine for 2021-2026 https://zakon.rada.gov.ua/laws/show/487/2021#Text Anti-corruption strategy for 2021-2025 https://zakon.rada.gov.ua/laws/show/2322-20#Text State strategy of regional development for 2021-2027 https://zakon.rada.gov.ua/laws/show/695-2020-%D0%BF#Text. All of the strategies and action plans listed above contain separate sections on Open Data. First of all, they concern the intensification of the publication of Open Data, the use of machine-readable formats and the support of transparency and accountability of authorities, which is necessary for the development of civil society. In addition, all strategies in one way or another encourage the reuse of Open Data by both the public and private sectors.
In addition, a draft Strategy for the Development of the Open Data Sphere of Ukraine for 2025–2027 has already been developed, which defines the main directions of the formation and implementation of the state development policy in the field of Open Data of Ukraine for 2025–2027, outlines a strategic vision for the development of the sector based on ensuring national interests and fulfillment of Ukraine's international obligations. The Ministerial Open Data Team is working on the adoption of the draft. https://data.gov.ua/uploads/files/2024-06-04-131815.019620ODStrategy2025-2027.pdf"
P3;"Is there an Open Data policy/strategy at regional or local level?

For Explanation:
* If yes, please (1) provide the URL and (2) title of the document(s) and (3) briefly describe.";yes;"Lviv https://www8.city-adm.lviv.ua/Pool/Info/doclmr_1.NSF/(SearchForWeb)/7676F23B77FA4D95C22581790030B9C7?OpenDocument                                                                                                                                                                            
Vinnytsya http://www.vmr.gov.ua/Docs/MajorOrdersR/2017/%E2%84%96181-%D1%80%2018-10-2017%20%D0%9F%D1%80%D0%BE%20%D0%B7%D0%B0%D1%85%D0%BE%D0%B4%D0%B8.pdf 
Ternopil https://ternopilcity.gov.ua/normative-documents/vidkriti-dani/28627.html                                                                                                                                                                                                                                                                                                                                                           
The key points of such strategy are                                                                                                                                                                           Development, adoption, improvement of the internal regulatory framework, such as provisions on Open Data, job descriptions, procedures and maintenance and publication of registers, etc.
Information audit of data sets, creation of the register of data sets of the data provider.
Improving the skills of employees in the publication and use of data in training, courses, programs.
Establishment of a structural subdivision (department, sector) or position in the field of Open Data.
Modernization of information systems for data export in open machine-readable formats CSV, JSON, XML, creation of open APIs (application programming interfaces) for publishing sets.
Establishment and strengthening of information exchange between structural subdivisions and with other authorities.
Development of electronic services, analytical dashboards, chatbots and other products based on Open Data.
Consulting and establishing partnerships with business and the public to open new sets, improve data quality.
Introduction of own Open Data portal.
Promotion of Open Data: holding hackathons, competitions for projects based on Open Data.";Complement;Yes;"At the regional level, local self-government bodies adopt action plans for the implementation of the Open Data policy - regional strategies for the development of the Open Data Sphere. In particular, the adoption of such action plans may be connected with the joining of such cities to the International Open Data Charter. And accordingly, such regional strategies recognize the principles of the International Open Data Charter at the regulatory level.
Lviv https://www8.city-adm.lviv.ua/Pool/Info/doclmr_1.NSF/(SearchForWeb)/7676F23B77FA4D95C22581790030B9C7?OpenDocument  
Vinnytsya https://www.vmr.gov.ua/media/OpenData/Laws/%E2%84%96181-%D1%80%2018-10-2017%20%D0%9F%D1%80%D0%BE%20%D0%B7%D0%B0%D1%85%D0%BE%D0%B4%D0%B8.pdf (The link has been updated, but it may not open in other countries due to security measures). 
Ternopil https://ternopilcity.gov.ua/normative-documents/vidkriti-dani/28627.html  
Kropyvnytsiy http://www.kr-rada.gov.ua/uploads/documents/21804-rozp_154_27-12-2018.pdf 
Zaporizhzhia https://zp.gov.ua/upload/content/o_1ejueqnfg1oj1g7eq3i18kmtfmdb.pdf  
Zhmerynka https://zhmerinka-adm.gov.ua/media/files/dAGR2sbih32derFhS2QHi58as.doc 
Haisyn https://haisyn-municipality.gov.ua/documents/139634-pro-organizaciiu-roboti-shhodo-realizaciyi-politiki-vidkritix-danix-gaisinskoyi-miskoyi-radi  
Dubno https://dubno-adm.gov.ua/fileadmin/user_upload/Arhiv/Dokumenti_Proekti_dokumentiv/PR_vuk_11_20_06_19.doc 
Chervonohrad https://www.chg.gov.ua/get_blog_files.php?id=12678&name=d0a759a74d7bb2f759879d90996aec1f 
Sambir https://sambircity.gov.ua/2024/04/26/pro-priyednannya-do-mizhnarodno%D1%97-xarti%D1%97-vidkritix-danix/  
Ulanivka https://rada.info/upload/users_files/04331834/f3782e0f175e2233991b3db6aad82633.docx  
Boryslav https://boryslavrada.gov.ua/post/documents/rozporiadzhennia-miskoho-holovy-pro-realizatsiiu-polityky-vidkrytykh-danykh-u-boryslavskii-miskii-radi  
In addition, as part of Open Government Week, all locsl governments of Lviv Oblast submitted an application to join the International Open Data Charter https://loda.gov.ua/news/105967. Accordingly, at their internal organizational level, all 71 local governments of Lviv Region approved action plans recognizing the principles of the International Open Data Charter. https://drive.google.com/drive/folders/135Qaexpu2dDUvn8o9zo34dOw2MYwZjsb  
The key points of such strategies are development, adoption, improvement of the internal regulatory framework, such as instruments on Open Data, job descriptions, procedures and maintenance and publication of registers, etc.:
Information audit of public information, creation of the register of datasets by the data provider. Improving the skills of employees in the publication and use of Open Data within trainings, courses, programs. 
Establishment of a structural subdivision (department, sector) or position in the field of Open Data. 
Modernization of information systems for data export in open machine-readable formats CSV, JSON, XML, creation of open APIs (application programming interfaces) for publishing datasets. 
Establishment and strengthening of information exchange between structural subdivisions and with other authorities. 
Development of electronic services, analytical dashboards, chatbots and other products based on Open Data. 
Consulting and establishing partnerships with business and the public to open new sets, improve data quality. 
Introduction of own Open Data portal. 
Promotion of Open Data: holding hackathons, competitions for projects based on Open Data etc."
P4;"Does the national strategy/policy include an action plan with measures to be implemented in the Open Data field?

For Explanation:
If yes, please briefly describe the main measures described by the action plan.";yes;"Action plan for implementation of Open Data strategy is available via link https://data.gov.ua/uploads/files/2022-06-15-120043.7877993140222-1.pdf The key-points of action plan are: 1. Disclosure in the form of Open Data of all available public information (implementation of the principles ""open by default"" and ""open by design"") 2. Increasing the level of reuse of public information in the form of Open Data 3. Compliance of the datasets published on the National Portal with the principles International Open Data Charter";Complement;Yes;"Action plan for implementation of Open Data strategy is available via link https://data.gov.ua/uploads/files/2022-06-15-120043.7877993140222-1.pdf
The key-points of action plan are: 1. Disclosure in the form of Open Data of all available public information (implementation of the principles ""open by default"" and ""open by design"") 2. Increasing the level of reuse of public information in the form of Open Data 3. Compliance of the datasets published on the National Portal with the principles International Open Data Charter
In addition, the draft Strategy for the Development of the Open Data Sphere of Ukraine for 2025-2027 defines an operational action plan for each strategic goal, specifies measures to be implemented within each task, outlines expected results with deadlines and responsible actors: https://data.gov.ua/uploads/files/2024-06-04-131815.019620ODStrategy2025-2027.pdf 
The main measures described in the action plan are reflected in the strategic goals of this document: Development of policy and legal regulation of the field of Open Data in Ukraine; Improving the quality, interoperability, quantity and scope of Open Data sets and associated metadata; Development of accessibility and capabilities of the Unified state web portal of Open Data; Creating an ecosystem of education in the field of Open Data; Building interaction between Open Data stakeholders to realize the social and economic potential of Open Data; Strengthening the institutional capacity of the state apparatus in the formation and implementation of Open Data Policy in Ukraine."
P5;"Does the national strategy/policy outline measures to incentivise the publication of and access to real-time or dynamic data?

For Explanation:
* If yes, please briefly describe the measures.";yes;"The strategy envisages measures to increase the level of publication and use of dynamic data
This is done by ensuring the disclosure of dynamic datasets at the time of creation with all the elements necessary for their reuse, which includes:
empowering the central executive body that formulates policies in the field of Open Data to approve the list of dynamic datasets and to set requirements for the deadline for publication of such datasets
organization by managers of access to dynamic data sets in real time exclusively through application programming interfaces (API) in accordance with the requirements of the legislation on their content, available elements, etc. (paragraph 7 page 11) https://data.gov.ua/uploads/files/2022-06-15-102752.7196282150222.pdf";Complement;Yes;"The strategy envisages measures to increase the level of publication and use of dynamic data. This is done by ensuring the publication of dynamic datasets at the time of creation with all the elements necessary for their reuse, which includes: empowering the central executive body that formulates policies in the field of Open Data to approve the list of dynamic datasets and to set requirements for the deadline for publication of such datasets organization by managers of access to dynamic data sets in real time exclusively through application programming interfaces (API) in accordance with the requirements of the legislation on their content, available elements, etc. (paragraph 7 page 11) https://data.gov.ua/uploads/files/2022-06-15-102752.7196282150222.pdf
In addition, the draft Open Data Development Strategy for 2025-2027 also defines an increase in the number of dynamic datasets, access to which is provided via APIs. This is defined in task 3 of strategic goal 2 (page 13): https://data.gov.ua/uploads/files/2024-06-04-131815.019620ODStrategy2025-2027.pdf"
P6;"Does the national strategy/policy outline measures to incentivise the publication of and access to citizen-generated data?

For Explanation:
* If yes, please briefly describe the measures.";yes;"The Law of Ukraine on ""Access to Public Information"" provides for the possibility of publishing information provided by individuals or legal entities under private law.

However, if a natural or legal person under private law is a provider of information of significant public interest or concerns the environment, protection of life and health of citizens - such publication is mandatory. NGO ""Save Dnipro"" publish its own data on the National portal https://data.gov.ua/organization/9b012670-b499-4923-a3c9-4c23f1d86f8f";Complement;Yes;"The Law of Ukraine ""on Access to Public Information"" provides for the possibility of publishing information provided by individuals or legal entities under private law.
However, if a natural or legal person under private law is a provider of information of significant public interest or concerns the environment, protection of life and health of citizens - such publication is mandatory. NGO ""Save Dnipro"" publish its own data on the National portal https://data.gov.ua/organization/9b012670-b499-4923-a3c9-4c23f1d86f8f.
Moreover, the draft Strategy for the Development of Open Data for 2025-2027 also defines measures to increase the intensity of publication and access to data generated by citizens. This is defined in task 3 of Strategic Goal 5 (page 25). This task is aimed at building relationships between business and government regarding the sharing of machine-readable data, which will facilitate the effective use of this data. Such exchange will promote the development of the digital economy, innovation and the implementation of modern technological solutions, and can also lead to insufficient interaction and exchange of data between sectors.
The expected results of the implementation of Task 3 of Strategic Goal 5 will be the creation of a basis for the development of a regulatory framework that regulates B2B (business-to-business) and B2G (business-to-government) relations in the field of machine-readable data exchange. The implementation of such regulation will positively affect the economic and social development of the country thanks to the exchange of information for the purpose of innovation and development of new products and services based on Open Data. In addition, the possibility of creating a special tax regime for enterprises that develop products based on Open Data was studied in order to attract investments and support startups in this area. https://data.gov.ua/uploads/files/2024-06-04-131815.019620ODStrategy2025-2027.pdf"
P7;"Does the national strategy/policy foster the discoverability of the aforementioned types of data from your country on data.europa.eu?

For Explanation:
* If yes, please briefly describe how.";yes;From 2018, datasets from the national portal are harvested by the European Open Data Portal automatically https://data.europa.eu/data/datasets?locale=en&catalog=data-gov-ua&page=1  Ukraine's Open Data policy promotes unification of datasets and its interoperability with other datasets;Confirm;;
P8;"Does the national strategy/policy outline measures to support the reuse of Open Data by the public sector?

For Explanation:
* If yes, please briefly describe the measures.";yes;"Decree 835 establishes among other things Principles For Improved Governance & Citizen Engagement and For Inclusive Development & Innovation. The last is defined as granting by data providers support and assistance in creating new information resources and services based on public information in the form of Open Data. It also sets definition of a term ""permanent applicability"" - ensuring the use of public information in the form of Open Data by public authorities and local governments in the exercise of their powers.
Realization of the Principle For Improved Governance & Citizen Engagement of Open Data Strategy provides for:
Promotion of the use of the Open Data by public bodies;
Cooperation with NGOs and business  on the creation and promotion of visualizations, tools and analytical materials based on Open Data;
Promotion of the development of skills in the use of Open Data by NGOs and other civil society organisations;
Organization of informational and educational activities for the leadership of public authorities and local governments on the development of the effective Open Data programs in their government bodies.
One of the goals of new Open Data Strategy  is the high level of re-use of public information in the form of Open Data, which also includes re-use of Open Data by the public sector";Complement;Yes;"Decree 835 establishes among other things Principles For Improved Governance & Citizen Engagement and For Inclusive Development & Innovation. The last is defined as granting by data providers support and assistance in creating new information resources and services based on Open Data. It also sets definition of a term ""permanent applicability"" - ensuring the use of Open Data by public authorities and local governments in the exercise of their powers.
Perfomance of the Principle For Improved Governance & Citizen Engagement of Open Data Strategy provides for:
Promotion of the use of the Open Data by public bodies;
Cooperation with NGOs and business on the creation and promotion of visualizations, tools and analytical materials based on Open Data;
Promotion of the development of skills in the use of Open Data by NGOs and other civil society organisations;
Organization of informational and educational activities for the leadership of public authorities and local governments on the development of the effective Open Data programs in their government bodies.
One of the goals of the draft of Open Data Strategy is the high level of re-use of public information in the form of Open Data, which also includes re-use of Open Data by the public sector.
https://data.gov.ua/uploads/files/2022-06-15-102752.7196282150222.pdf 
In addition, the draft of the Strategy for the development of Open Data for 2025-27 provides for the provision that the revision of the current legislation on Open Data, including legislative acts regulating, in particular, the reuse of data, should become a key stage in the implementation of the Strategy. In order to implement this task, it is planned to prepare systemic changes to the legislation to eliminate obstacles to access to public information and its use as Open Data. Reuse will also be ensured by increasing the quality, interoperability, quantity and completeness of Open datasets and associated metadata, which is Strategic Goal 2. https://data.gov.ua/uploads/files/2024-06-04-131815.019620ODStrategy2025-2027.pdf"
P9;"Does the national strategy/policy outline measures to support the reuse of Open Data by the private sector?

For Explanation:
* If yes, please briefly describe the measures.";yes;"One of the goals of new Open Data Strategy is the high level of re-use of public information in the form of Open Data, which also includes re-use of Open Data by the private sector. It will include the following subgoals: the functionality of the Portal allows ordinary users to use its capabilities having basic technical skills; the Portal has implemented several channels of user interaction with data providers and the holder of the Portal; dynamic data, which is in high demand in society, is updated at the time of creation and measures to achieve those subgoals.
Also as a measure to support the re-use of Open Data by priviate sector is the online course Open Data for Business that was created on the national platform of the digital education - https://osvita.diia.gov.ua/courses/opendata";Complement;Yes;"One of the goals of new Open Data Strategy is the high level of re-use of public information in the form of Open Data, which also includes re-use of Open Data by the private sector. It will include the following subgoals: the functionality of the Portal allows ordinary users to use its capabilities having basic technical skills; the Portal has implemented several channels of user interaction with data providers and the holder of the Portal; dynamic data, which is in high demand in society, is updated at the time of creation and measures to achieve those subgoals.
https://data.gov.ua/uploads/files/2022-06-15-102752.7196282150222.pdf

Also as a measure to support the re-use of Open Data by priviate sector is the online course Open Data for Business that was created on the national platform of the digital education - https://osvita.diia.gov.ua/courses/opendata. The ""Open Data Advocacy"" series was also launched https://osvita.diia.gov.ua/courses/open-data-advocation.
 
In addition, the draft of the Strategy for the development of Open Data for 2025-27 provides for the provision that the revision of the current legislation on Open Data, including legislative acts regulating, in particular, the reuse of data, should become a key stage in the implementation of the Strategy. In order to implement this task, it is planned to prepare systemic changes to the legislation to eliminate obstacles to access to public information and its use as Open Data. Reuse will also be ensured by increasing the quality, interoperability, quantity and volume of Open Data sets and associated metadata, which is Strategic Goal 2. Also, Task 6 of Strategic Goal 5 is to facilitate hackathons, competitions and support programs for projects based on on Open Data. In order to implement this task, it is envisaged to provide assistance in the organization of competitions to support acceleration and incubation programs for businesses and representatives of civil society working in the field of Open Data; provide support for the organization of hackathons for students and post-graduate students, businesses and civil society representatives who carry out their activities in the field of Open Data; provide support for the organization of grant contests for civil society to develop and increase the use and popularization of gender-disaggregated data in their activities. https://data.gov.ua/uploads/files/2024-06-04-131815.019620ODStrategy2025-2027.pdf   
In order to increase the transparency of state institutions to solve socio-economic problems and to support innovative projects, grant competitions for startups are organized based on Open Data.
In June 2023, the competition ""Open Data. Unbroken"" together with OSCE was organized. https://www.openunbroken.org/. Winners: ""Where's the shelter?"" — a chatbot for finding the nearest bomb shelter in Ukraine. https://shelteruabot.com/. ""VPO Nazar"" is a chatbot to help internally displaced persons integrate into a new environment https://citybot.pro/vpo. ""Plant Varieties"" is an information aggregator that brings together resources such as Plant Varieties and Controlled Pesticides https://agrarii-razom.com.ua/. 
Also in November 2023 the competition ""Open Datathon reUkraine"" together with TAPAS project was organized https://datathon.data.gov.ua/. Among the winners of the competition is the service for providing access to public registers for citizens and businesses ""Opendatabot"" https://opendatabot.ua/, the solution for finding barrier-free locations ""Dostupno!"" from the Ukrainian Center for Social Data https://dostupno.ua/mapa-dostupnosti/, chatbot ""I'll be a mother"" from the ""Liky Kontrol"" team https://chats.viber.com/iwillbemother_bot, a system of dashboards with analytics from the Clarity Project — Clarity Hromada https://clarity-project.info/hromada.
In addition ""Open Data Hackathon"" with support of DTA project is running now. More than 230 applications for participation were received. https://www.opendatatech.org/hackathon."
P10-a;"Does the national strategy/policy mandate carrying out and maintaining a data inventory by public bodies, whether at national or local level?

For Explanation:
* If yes, please briefly specify.";yes;"According to legislation, all public bodies must publish the result of data inventory on data.gov.ua. 
Legislation establishes the definition of the term ""information audit"" - the process of analysis by the data provider on the availability, status, formats, management processes and use of all information in his possession. An information audit is mandatory and is performed at least once a year.
The methodology of information audit is approved by the central executive body, which ensures the formation and implementation of state policy in the field of Open Data - Ministry of Digital Transformation.
The results of the information audit of the data provider are subject to mandatory publication on the National portal as a separate dataset.                                                                                                                                                                                                                  One of the modules of the Open Data for Civil Servants curriculum is devoted exclusively to the methodology of auditing Open Data, which is mandatory for all data providers and should be conducted at least once a year. more than 18,000 civil servants successfully completed the training program in 2020-2021";Complement;Yes;"According to legislation, all public bodies must publish the result of data inventory on data.gov.ua. 
Legislation establishes the definition of the term ""information audit"" - the process of analysis by the data provider on the availability, status, formats, management processes and use of all information in his possession. An information audit is mandatory and is performed at least once a year.
The methodology of information audit is approved by the central executive body, which ensures the formation and implementation of state policy in the field of Open Data - Ministry of Digital Transformation.
The results of the information audit of the data provider are subject to mandatory publication on the National portal as a separate dataset.                                                                                                                                                                                                                  One of the modules of the Open Data for Civil Servants curriculum is devoted exclusively to the methodology of auditing Open Data, which is mandatory for all data providers and should be conducted at least once a year. More than 67,000 civil servants watched the series.
One of the measures to implement the goals of the project of Strategy for Development Open Data for 2025-27 is the creation of an online course to improve the skills of civil servants and employees of local self-government bodies in conducting information audits (page 19). https://data.gov.ua/uploads/files/2024-06-04-131815.019620ODStrategy2025-2027.pdf.
Examples of datasets with the results of information audits published by providers: https://data.gov.ua/en/dataset/b687989b-aaef-4d8b-9ea3-56b03a684673, https://data.gov.ua/dataset/2396df9f-41b9-4b53-9064-91f2c36e8ccc, https://data.gov.ua/en/dataset/a9c3c00a-a176-4cc3-91cb-9bcce1e14e28/resource/88a34d3d-647e-41d7-ba0a-683994abef6f.
Decree № 409 also approved the Procedure for annual assessment of the state of publication and updating of Open Data by data providers on the Unified State Web Portal of Open Data. The purpose of the evaluation is to determine the state of compliance by data providers with the requirements of the Regulation on data sets that are subject to publication in the form of Open Data. The evaluation is carried out every year in two stages: a survey of data providers; analysis of survey results and determination of assessment. https://zakon.rada.gov.ua/laws/show/409-2019-%D0%BF#Text"
P10-b;"Do these data inventories include the data collected by public bodies that cannot be published as Open Data (e.g. in relation to the EU Data Governance Act (EU) 2022/868)? 

For Explanation:
* If yes, please briefly specify.";yes;"In accordance with the legislation, data providers shall perform information audit of all information in their possession - both that can be published as Open Data and vice versa.
Moreover, due to the ""open by default principle"", all public information is open. It means, that though containing, for example, personal data, dataset shall nevertheless be published as Open Data with anonymisation of such personal data.";Confirm;;
P11;"Is your country applying the implementing regulation (EU) 2023/138 on high-value datasets?

For Explanation:
* If yes, how is it progressing? 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.
** In the table below, please indicate your progress with respect to a) organisation, b) legal aspects, c) technical aspects on a scale from 1 to 5. 1 = no progress; 2 = few progress; 3 = some progress; 4 = considerable progress; 5 = works are finalised.";new question;new question;Change;Not Applicable;The Decree № 835 revised the definition of high-value data sets, and also indicated which areas are priorities within the process of implementation of the policy in the field of Open Data. The publication of datasets in the spheres of justice, judiciary, health care, ecology and environmental protection, transport and infrastructure, finance and taxes is a priority area of
P12;"Have the public bodies in your country denoted relevant datasets as high-value datasets in their metadata following the publication of the implementing regulation (EU) 2023/138 on high-value datasets?

For Explanation:
*  If yes, please specify how and highlight challenges, if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Not Applicable;
P13;"Is there a governance structure in place that enables the participation and/or inclusion of various Open Data stakeholders? 

For Explanation:
*  If yes, please briefly describe the governance structure and its operating model ";new question;new question;Change;Yes;"The Ministry of Digital Transformation of Ukraine is the main body responsible for the development of Open Data; ensures coordination of the publication of datasets on the portal by data providers and promotes their quality improvement.
The Data+ communication platform was created with the assistance of the Ministry of Digital Transformation of Ukraine, which was publicly presented on May 29, 2024. Within the framework of the operation of Data+, regular meetings are held with stakeholders in the field: the Ministry of Digital Transformation of Ukraine, the Ombudsman of Ukraine, data providers, experts, civil society, etc. The first meeting of participants of this platform will take place at the end of June 2024.
The first user satisfaction and demand for Open Data survey was launched on June 3, 2024. The survey is targeted towards representatives of businesses, civil servants, civil society organizations (CSOs), and the media. The collected information will help to identify gaps in Open Data and plan the framework of the Data+ platform for cooperation between MDT and stakeholders. It will also include feedback on the functionality of the Unified Open Data Portal (UODP) and what type of unpublished Open Data is important and should be made accessible. The survey is expected to conclude at the end of June 2024.  
https://www.facebook.com/share/p/dLsKweKw8m12TPhT/?
In January 2024, a survey of users of the Unified State Web Portal of Open Data was conducted to determine the needs of data users https://docs.google.com/forms/d/e/1FAIpQLScwiBCSqO3Byx8fcZlpujEbrm3DWYeuiMyd9YfyBrC2wpb4ew/viewform.
https://docs.google.com/forms/d/e/1FAIpQLSdXGQ11Jrx9zvBU_X_7BYVENqKRBgdf0WyxndbRy5zL6-TMLg/viewform - the survey for data users is conducted to determine the priorities of the Ministry of Digital Transformation in the field of Open Data and planning the operation of the Data+ communication platform.
During the research on the role of Open Data in the transition to a circular and low-carbon economy, researchers took into account business needs through surveys to develop standards for 16 datasets. https://diia.data.gov.ua/news/opublikovano-doslidzennya-roli-vidkritix-danix-u-perexodi-do-cirkulyarnoyi-ta-nizkovuglecevoyi-ekonomiki. 
During the preparing of the Open Data development strategy for 2025-2027, a survey of stakeholders was conducted: https://docs.google.com/document/d/1l_V8V8pJi_3MMbx5KEbb6Gg-RIR0CYaJLcOJX0OwJ9o/edit."
P14;"How would you classify the model used for governing Open Data in your country? 

For Explanation:
*  Please briefly explain why this model was chosen/works best for your country";hybrid;"Ukraine has implemented a bilateral system to support Open Data initiatives.
The Ministry of Digital Transformation of Ukraine is the main authority in the system of government bodies responsible for the formation and implementation of Open Data policy and strategy.
At the same time, local authorities, in accordance with their legal powers, develop the sphere of Open Data on the local level. Hence the model is hybrid where iniative for the Open Data sphere comes close from the Ministry and local goverements themselves";Confirm;;
P15;"Does the governance structure ensure that the local and regional Open Data initiatives are facilitated and supported at national level?

For Explanation:
* If yes, please give an example of what kind of support.
* If not applicable, please explain why.";new question;new question;Change;Yes;"Support for local initiatives is provided by the Ministry of Digital Transformation of Ukraine inter alia by concluding memorandums of cooperation with local councils. Within the framework of these memoranda, the Ministry supports local authorities in conducting information audits, adopting the internal legal framework of data providers, and grants a license for the deployment of local Open Data portals. Also, training on Open Data is mandatory for such bodies.
Thus, the Ministry of Digital Transformation is actively stimulating the development of regional Open Data policy, in particular to systematize work with administrators at the regional level and simplify citizens' access to Open Data. The Ministry provides interested local governments with a ""Standard software of a local Open Data portal"". https://diia.data.gov.ua/news/rozvytok-vidkrytykh-danykh-v-rehionakh.
Dozens of local governments are already a part of the abovementioned regional program.
Moreover, from the end of 2023, the Open Data Academy is implemented. It is an initiative aimed at raising the competencies of regional civil servants on Open Data. So far, such trainings have been carried out for such employees of Chernivtsi, Lviv, Zakarpattia, Vinnytsia, and Rivne regions. By the end of 2025, it is planned to cover all regions of Ukraine. https://academy.data.gov.ua/."
P16;"To what degree do local/regional public bodies conduct Open Data initiatives? 

For Explanation:
* If not applicable, please explain why.";all public bodies;;Confirm;;
